Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AccountsHealthCheck,Chrome 70.0.3538.102,,2018-11-14 17:01:13,2018-11-14 17:05:40,4m - 26.613s,ERROR
,,,,,,
Test Cases/AccCreateNonCoppaAccount/AccCreateNonCoppaAccount,Chrome 70.0.3538.102,,2018-11-14 17:01:13,2018-11-14 17:02:08,54.584s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-14 17:01:14,2018-11-14 17:01:19,5.390s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-14 17:01:19,2018-11-14 17:01:21,1.164s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-14 17:01:21,2018-11-14 17:01:21,0.039s,PASSED
"Statement - baseUrl = ""https://webr20accounts.wizards.com/""",Chrome 70.0.3538.102,,2018-11-14 17:01:21,2018-11-14 17:01:21,0.043s,PASSED
"Statement - selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 70.0.3538.102,,2018-11-14 17:01:21,2018-11-14 17:01:21,0.131s,PASSED
"Statement - selenium.open(""https://webr20accounts.wizards.com/"")",Chrome 70.0.3538.102,,2018-11-14 17:01:21,2018-11-14 17:01:24,3.535s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-14 17:01:24,2018-11-14 17:01:24,0.091s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 17:01:24,2018-11-14 17:01:34,10.047s,PASSED
"Statement - selenium.click(""id=join"")",Chrome 70.0.3538.102,,2018-11-14 17:01:34,2018-11-14 17:01:40,5.417s,PASSED
switchToFrame,Chrome 70.0.3538.102,,2018-11-14 17:01:40,2018-11-14 17:01:40,0.142s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-14 17:01:40,2018-11-14 17:01:41,1.128s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 17:01:41,2018-11-14 17:01:49,8.035s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-14 17:01:49,2018-11-14 17:01:49,0.042s,PASSED
"Statement - selenium.type(""id=firstname"", ""sdss"")",Chrome 70.0.3538.102,,2018-11-14 17:01:49,2018-11-14 17:01:49,0.108s,PASSED
"Statement - selenium.type(""id=lastname"", ""test"")",Chrome 70.0.3538.102,,2018-11-14 17:01:49,2018-11-14 17:01:49,0.097s,PASSED
"Statement - selenium.click(""id=dob_Year"")",Chrome 70.0.3538.102,,2018-11-14 17:01:49,2018-11-14 17:01:50,0.215s,PASSED
"Statement - selenium.select(""id=dob_Year"", ""label=2003"")",Chrome 70.0.3538.102,,2018-11-14 17:01:50,2018-11-14 17:01:50,0.162s,PASSED
"Statement - selenium.click(""id=dob_Year"")",Chrome 70.0.3538.102,,2018-11-14 17:01:50,2018-11-14 17:01:50,0.157s,PASSED
"Statement - selenium.click(""id=dob_Month"")",Chrome 70.0.3538.102,,2018-11-14 17:01:50,2018-11-14 17:01:50,0.172s,PASSED
"Statement - selenium.select(""id=dob_Month"", ""label=12"")",Chrome 70.0.3538.102,,2018-11-14 17:01:50,2018-11-14 17:01:50,0.149s,PASSED
"Statement - selenium.click(""id=dob_Month"")",Chrome 70.0.3538.102,,2018-11-14 17:01:50,2018-11-14 17:01:50,0.153s,PASSED
"Statement - selenium.click(""id=dob_Day"")",Chrome 70.0.3538.102,,2018-11-14 17:01:50,2018-11-14 17:01:51,0.181s,PASSED
"Statement - selenium.select(""id=dob_Day"", ""label=18"")",Chrome 70.0.3538.102,,2018-11-14 17:01:51,2018-11-14 17:01:51,0.144s,PASSED
