Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AccountsHealthCheck,Chrome 69.0.3497.100,,2018-09-22 10:10:32,2018-09-22 10:13:30,2m - 57.234s,PASSED
,,,,,,
Test Cases/AccCreateNonCoppaAccount/AccCreateNonCoppaAccount,Chrome 69.0.3497.100,,2018-09-22 10:10:33,2018-09-22 10:11:19,45.997s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-22 10:10:33,2018-09-22 10:10:40,6.323s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-22 10:10:40,2018-09-22 10:10:41,1.213s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-09-22 10:10:41,2018-09-22 10:10:41,0.050s,PASSED
"Statement - baseUrl = ""https://webr12accounts.wizards.com/""",Chrome 69.0.3497.100,,2018-09-22 10:10:41,2018-09-22 10:10:41,0.035s,PASSED
"Statement - selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 69.0.3497.100,,2018-09-22 10:10:41,2018-09-22 10:10:41,0.142s,PASSED
"Statement - selenium.open(""https://webr12accounts.wizards.com/"")",Chrome 69.0.3497.100,,2018-09-22 10:10:41,2018-09-22 10:10:42,0.780s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-22 10:10:42,2018-09-22 10:10:42,0.082s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-22 10:10:42,2018-09-22 10:10:52,10.058s,PASSED
"Statement - selenium.click(""id=join"")",Chrome 69.0.3497.100,,2018-09-22 10:10:52,2018-09-22 10:10:52,0.222s,PASSED
switchToFrame,Chrome 69.0.3497.100,,2018-09-22 10:10:52,2018-09-22 10:10:52,0.128s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-09-22 10:10:52,2018-09-22 10:10:53,0.552s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-22 10:10:53,2018-09-22 10:11:01,8.033s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-22 10:11:01,2018-09-22 10:11:01,0.049s,PASSED
"Statement - selenium.type(""id=firstname"", ""sdss"")",Chrome 69.0.3497.100,,2018-09-22 10:11:01,2018-09-22 10:11:01,0.276s,PASSED
"Statement - selenium.type(""id=lastname"", ""test"")",Chrome 69.0.3497.100,,2018-09-22 10:11:01,2018-09-22 10:11:01,0.115s,PASSED
"Statement - selenium.click(""id=dob_Year"")",Chrome 69.0.3497.100,,2018-09-22 10:11:01,2018-09-22 10:11:02,0.215s,PASSED
"Statement - selenium.select(""id=dob_Year"", ""label=2003"")",Chrome 69.0.3497.100,,2018-09-22 10:11:02,2018-09-22 10:11:02,0.144s,PASSED
"Statement - selenium.click(""id=dob_Year"")",Chrome 69.0.3497.100,,2018-09-22 10:11:02,2018-09-22 10:11:02,0.163s,PASSED
"Statement - selenium.click(""id=dob_Month"")",Chrome 69.0.3497.100,,2018-09-22 10:11:02,2018-09-22 10:11:02,0.182s,PASSED
"Statement - selenium.select(""id=dob_Month"", ""label=12"")",Chrome 69.0.3497.100,,2018-09-22 10:11:02,2018-09-22 10:11:02,0.150s,PASSED
"Statement - selenium.click(""id=dob_Month"")",Chrome 69.0.3497.100,,2018-09-22 10:11:02,2018-09-22 10:11:02,0.144s,PASSED
"Statement - selenium.click(""id=dob_Day"")",Chrome 69.0.3497.100,,2018-09-22 10:11:02,2018-09-22 10:11:03,0.179s,PASSED
"Statement - selenium.select(""id=dob_Day"", ""label=18"")",Chrome 69.0.3497.100,,2018-09-22 10:11:03,2018-09-22 10:11:03,0.142s,PASSED
"Statement - selenium.click(""id=dob_Day"")",Chrome 69.0.3497.100,,2018-09-22 10:11:03,2018-09-22 10:11:03,0.159s,PASSED
"Statement - selenium.click(""id=email"")",Chrome 69.0.3497.100,,2018-09-22 10:11:03,2018-09-22 10:11:03,0.152s,PASSED
"Statement - selenium.type(""id=email"", org.apache.commons.lang.RandomStringUtils.randomNumeric(5) + com.kms.katalon.core.testdata.TestDataFactory.findTestData(InputData).getValue(2, 1))",Chrome 69.0.3497.100,,2018-09-22 10:11:03,2018-09-22 10:11:04,0.885s,PASSED
"Statement - selenium.click(""id=username"")",Chrome 69.0.3497.100,,2018-09-22 10:11:04,2018-09-22 10:11:04,0.177s,PASSED
"Statement - selenium.type(""id=username"", org.apache.commons.lang.RandomStringUtils.randomNumeric(5) + com.kms.katalon.core.testdata.TestDataFactory.findTestData(InputData).getValue(3, 1))",Chrome 69.0.3497.100,,2018-09-22 10:11:04,2018-09-22 10:11:04,0.135s,PASSED
"Statement - selenium.type(""id=password"", ""Password1!"")",Chrome 69.0.3497.100,,2018-09-22 10:11:04,2018-09-22 10:11:04,0.120s,PASSED
"Statement - selenium.type(""id=confirmPassword"", ""Password1!"")",Chrome 69.0.3497.100,,2018-09-22 10:11:04,2018-09-22 10:11:05,0.183s,PASSED
"Statement - selenium.type(""id=joinCaptchaAnswer"", ""TEST"")",Chrome 69.0.3497.100,,2018-09-22 10:11:05,2018-09-22 10:11:05,0.088s,PASSED
"Statement - selenium.click(""id=next"")",Chrome 69.0.3497.100,,2018-09-22 10:11:05,2018-09-22 10:11:05,0.156s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-22 10:11:05,2018-09-22 10:11:15,10.034s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-22 10:11:15,2018-09-22 10:11:16,1.363s,PASSED
,,,,,,
Test Cases/AccCreateNonCoppaAccount/squirrelmailNonCoppaAccount,Chrome 69.0.3497.100,,2018-09-22 10:11:19,2018-09-22 10:11:27,7.978s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-22 10:11:19,2018-09-22 10:11:23,3.653s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.036s,PASSED
"Statement - baseUrl = ""http://rntmailtest01/webmail/src/login.php""",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.033s,PASSED
"Statement - selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.045s,PASSED
"Statement - selenium.open(""http://rntmailtest01/webmail/src/login.php"")",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.118s,PASSED
"Statement - selenium.type(""name=login_username"", ""loadtest"")",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.164s,PASSED
"Statement - selenium.click(""//center/table"")",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.119s,PASSED
"Statement - selenium.click(""name=secretkey"")",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.127s,PASSED
"Statement - selenium.type(""name=secretkey"", ""Wizz0Wizz"")",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:23,0.099s,PASSED
"Statement - selenium.click(""xpath=(.//*[normalize-space(text()) and normalize-space(.)='Password:'])[1]/following::input[4]"")",Chrome 69.0.3497.100,,2018-09-22 10:11:23,2018-09-22 10:11:24,0.609s,PASSED
"Statement - selenium.selectFrame(""index=1"")",Chrome 69.0.3497.100,,2018-09-22 10:11:24,2018-09-22 10:11:24,0.047s,PASSED
