Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AccountsHealthCheck,Chrome 69.0.3497.100,,2018-09-22 10:03:36,2018-09-22 10:06:55,3m - 18.543s,PASSED
,,,,,,
Test Cases/AccCreateNonCoppaAccount/AccCreateNonCoppaAccount,Chrome 69.0.3497.100,,2018-09-22 10:03:37,2018-09-22 10:04:23,46.607s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-22 10:03:37,2018-09-22 10:03:45,7.443s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-22 10:03:45,2018-09-22 10:03:46,1.328s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-09-22 10:03:46,2018-09-22 10:03:46,0.045s,PASSED
"Statement - baseUrl = ""https://webr12accounts.wizards.com/""",Chrome 69.0.3497.100,,2018-09-22 10:03:46,2018-09-22 10:03:46,0.043s,PASSED
"Statement - selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 69.0.3497.100,,2018-09-22 10:03:46,2018-09-22 10:03:46,0.154s,PASSED
"Statement - selenium.open(""https://webr12accounts.wizards.com/"")",Chrome 69.0.3497.100,,2018-09-22 10:03:46,2018-09-22 10:03:47,0.432s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-22 10:03:47,2018-09-22 10:03:47,0.095s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-22 10:03:47,2018-09-22 10:03:57,10.060s,PASSED
"Statement - selenium.click(""id=join"")",Chrome 69.0.3497.100,,2018-09-22 10:03:57,2018-09-22 10:03:57,0.211s,PASSED
switchToFrame,Chrome 69.0.3497.100,,2018-09-22 10:03:57,2018-09-22 10:03:57,0.130s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-09-22 10:03:57,2018-09-22 10:03:58,0.621s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-22 10:03:58,2018-09-22 10:04:06,8.043s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-22 10:04:06,2018-09-22 10:04:06,0.045s,PASSED
"Statement - selenium.type(""id=firstname"", ""sdss"")",Chrome 69.0.3497.100,,2018-09-22 10:04:06,2018-09-22 10:04:06,0.106s,PASSED
"Statement - selenium.type(""id=lastname"", ""test"")",Chrome 69.0.3497.100,,2018-09-22 10:04:06,2018-09-22 10:04:06,0.101s,PASSED
"Statement - selenium.click(""id=dob_Year"")",Chrome 69.0.3497.100,,2018-09-22 10:04:06,2018-09-22 10:04:06,0.216s,PASSED
"Statement - selenium.select(""id=dob_Year"", ""label=2003"")",Chrome 69.0.3497.100,,2018-09-22 10:04:06,2018-09-22 10:04:06,0.147s,PASSED
"Statement - selenium.click(""id=dob_Year"")",Chrome 69.0.3497.100,,2018-09-22 10:04:06,2018-09-22 10:04:07,0.162s,PASSED
"Statement - selenium.click(""id=dob_Month"")",Chrome 69.0.3497.100,,2018-09-22 10:04:07,2018-09-22 10:04:07,0.182s,PASSED
"Statement - selenium.select(""id=dob_Month"", ""label=12"")",Chrome 69.0.3497.100,,2018-09-22 10:04:07,2018-09-22 10:04:07,0.130s,PASSED
"Statement - selenium.click(""id=dob_Month"")",Chrome 69.0.3497.100,,2018-09-22 10:04:07,2018-09-22 10:04:07,0.151s,PASSED
"Statement - selenium.click(""id=dob_Day"")",Chrome 69.0.3497.100,,2018-09-22 10:04:07,2018-09-22 10:04:07,0.162s,PASSED
"Statement - selenium.select(""id=dob_Day"", ""label=18"")",Chrome 69.0.3497.100,,2018-09-22 10:04:07,2018-09-22 10:04:07,0.138s,PASSED
"Statement - selenium.click(""id=dob_Day"")",Chrome 69.0.3497.100,,2018-09-22 10:04:07,2018-09-22 10:04:08,0.159s,PASSED
"Statement - selenium.click(""id=email"")",Chrome 69.0.3497.100,,2018-09-22 10:04:08,2018-09-22 10:04:08,0.142s,PASSED
"Statement - selenium.type(""id=email"", org.apache.commons.lang.RandomStringUtils.randomNumeric(5) + com.kms.katalon.core.testdata.TestDataFactory.findTestData(InputData).getValue(2, 1))",Chrome 69.0.3497.100,,2018-09-22 10:04:08,2018-09-22 10:04:08,0.813s,PASSED
"Statement - selenium.click(""id=username"")",Chrome 69.0.3497.100,,2018-09-22 10:04:08,2018-09-22 10:04:09,0.166s,PASSED
"Statement - selenium.type(""id=username"", org.apache.commons.lang.RandomStringUtils.randomNumeric(5) + com.kms.katalon.core.testdata.TestDataFactory.findTestData(InputData).getValue(3, 1))",Chrome 69.0.3497.100,,2018-09-22 10:04:09,2018-09-22 10:04:09,0.123s,PASSED
"Statement - selenium.type(""id=password"", ""Password1!"")",Chrome 69.0.3497.100,,2018-09-22 10:04:09,2018-09-22 10:04:09,0.090s,PASSED
"Statement - selenium.type(""id=confirmPassword"", ""Password1!"")",Chrome 69.0.3497.100,,2018-09-22 10:04:09,2018-09-22 10:04:09,0.112s,PASSED
"Statement - selenium.type(""id=joinCaptchaAnswer"", ""TEST"")",Chrome 69.0.3497.100,,2018-09-22 10:04:09,2018-09-22 10:04:09,0.090s,PASSED
"Statement - selenium.click(""id=next"")",Chrome 69.0.3497.100,,2018-09-22 10:04:09,2018-09-22 10:04:09,0.163s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-22 10:04:09,2018-09-22 10:04:19,10.029s,PASSED
